SUBJECT,Subject,LOCATION,Country,MEASURE,Measure,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
CPALTT01,Consumer prices: all items,AUT,Austria,GP,Growth previous period,A,Annual,2019,2019,PC,Percentage,0,Units,,,1.530895534,,
CPALTT01,Consumer prices: all items,AUT,Austria,GP,Growth previous period,A,Annual,2020,2020,PC,Percentage,0,Units,,,1.381909548,,
CPALTT01,Consumer prices: all items,AUT,Austria,GP,Growth previous period,A,Annual,2021,2021,PC,Percentage,0,Units,,,2.766666667,,
CPALTT01,Consumer prices: all items,AUT,Austria,GP,Growth previous period,A,Annual,2022,2022,PC,Percentage,0,Units,,,8.546869932,,
CPALTT01,Consumer prices: all items,AUT,Austria,GP,Growth previous period,A,Annual,2023,2023,PC,Percentage,0,Units,,,7.81413417,,
CPALTT01,Consumer prices: all items,BEL,Belgium,GP,Growth previous period,A,Annual,1993,1993,PC,Percentage,0,Units,,,2.754425783,,
CPALTT01,Consumer prices: all items,BEL,Belgium,GP,Growth previous period,A,Annual,1994,1994,PC,Percentage,0,Units,,,2.377544529,,
CPALTT01,Consumer prices: all items,BEL,Belgium,GP,Growth previous period,A,Annual,1995,1995,PC,Percentage,0,Units,,,1.467961165,,
CPALTT01,Consumer prices: all items,BEL,Belgium,GP,Growth previous period,A,Annual,1996,1996,PC,Percentage,0,Units,,,2.077024623,,
CPALTT01,Consumer prices: all items,BEL,Belgium,GP,Growth previous period,A,Annual,1997,1997,PC,Percentage,0,Units,,,1.628160495,,
CPALTT01,Consumer prices: all items,BEL,Belgium,GP,Growth previous period,A,Annual,1998,1998,PC,Percentage,0,Units,,,0.949250288,,
CPALTT01,Consumer prices: all items,BEL,Belgium,GP,Growth previous period,A,Annual,1999,1999,PC,Percentage,0,Units,,,1.120848234,,
CPALTT01,Consumer prices: all items,BEL,Belgium,GP,Growth previous period,A,Annual,2000,2000,PC,Percentage,0,Units,,,2.544517762,,
CPALTT01,Consumer prices: all items,BEL,Belgium,GP,Growth previous period,A,Annual,2001,2001,PC,Percentage,0,Units,,,2.469258231,,
CPALTT01,Consumer prices: all items,BEL,Belgium,GP,Growth previous period,A,Annual,2002,2002,PC,Percentage,0,Units,,,1.645214362,,
CPALTT01,Consumer prices: all items,BEL,Belgium,GP,Growth previous period,A,Annual,2003,2003,PC,Percentage,0,Units,,,1.588964,,
CPALTT01,Consumer prices: all items,BEL,Belgium,GP,Growth previous period,A,Annual,2004,2004,PC,Percentage,0,Units,,,2.097283112,,
CPALTT01,Consumer prices: all items,BEL,Belgium,GP,Growth previous period,A,Annual,2005,2005,PC,Percentage,0,Units,,,2.781432637,,
CPALTT01,Consumer prices: all items,BEL,Belgium,GP,Growth previous period,A,Annual,2006,2006,PC,Percentage,0,Units,,,1.791207701,,
CPALTT01,Consumer prices: all items,BEL,Belgium,GP,Growth previous period,A,Annual,2007,2007,PC,Percentage,0,Units,,,1.8230563,,
CPALTT01,Consumer prices: all items,BEL,Belgium,GP,Growth previous period,A,Annual,2008,2008,PC,Percentage,0,Units,,,4.489444205,,
CPALTT01,Consumer prices: all items,BEL,Belgium,GP,Growth previous period,A,Annual,2009,2009,PC,Percentage,0,Units,,,-0.053145674,,
CPALTT01,Consumer prices: all items,BEL,Belgium,GP,Growth previous period,A,Annual,2010,2010,PC,Percentage,0,Units,,,2.189299204,,
CPALTT01,Consumer prices: all items,BEL,Belgium,GP,Growth previous period,A,Annual,2011,2011,PC,Percentage,0,Units,,,3.532082107,,
CPALTT01,Consumer prices: all items,BEL,Belgium,GP,Growth previous period,A,Annual,2012,2012,PC,Percentage,0,Units,,,2.839663434,,
CPALTT01,Consumer prices: all items,BEL,Belgium,GP,Growth previous period,A,Annual,2013,2013,PC,Percentage,0,Units,,,1.11309594,,
CPALTT01,Consumer prices: all items,BEL,Belgium,GP,Growth previous period,A,Annual,2014,2014,PC,Percentage,0,Units,,,0.340002833,,
